L1Seed,PileUp,Total,Prescale0,Fired0,
Count,-1,998,1,998,
L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142,-1,998,6,0,
L1_DoubleJet100er2p5,-1,998,170,0,
L1_DoubleJet120er2p5,-1,998,70,0,
L1_DoubleJet40er2p5,-1,998,8400,0,
L1_DoubleMu0_SQ,-1,998,1500,0,
L1_DoubleMu0er1p5_SQ_OS,-1,998,450,0,
L1_DoubleMu4_SQ_OS,-1,998,700,0,
L1_DoubleMu4p5er2p0_SQ_OS,-1,998,80,0,
L1_FirstBunchAfterTrain,-1,998,269167,0,
L1_FirstBunchBeforeTrain,-1,998,269167,0,
L1_FirstBunchInTrain,-1,998,269167,0,
L1_FirstCollisionInOrbit,-1,998,1103,0,
L1_FirstCollisionInTrain,-1,998,269167,0,
L1_HTT120er,-1,998,11400,0,
L1_HTT160er,-1,998,4100,0,
L1_HTT200er,-1,998,1600,0,
L1_HTT255er,-1,998,500,0,
L1_IsolatedBunch,-1,998,110,0,
L1_LastCollisionInTrain,-1,998,269167,0,
L1_Mu3_Jet120er2p5_dR_Max0p8,-1,998,3,0,
L1_Mu3_Jet16er2p5_dR_Max0p4,-1,998,400,0,
L1_Mu3_Jet30er2p5,-1,998,11000,0,
L1_Mu3_Jet35er2p5_dR_Max0p4,-1,998,256,0,
L1_Mu3_Jet60er2p5_dR_Max0p4,-1,998,52,0,
L1_Mu3_Jet80er2p5_dR_Max0p4,-1,998,13,0,
L1_QuadJet36er2p5_IsoTau52er2p1,-1,998,190,0,
L1_SingleEG10er2p5,-1,998,7600,0,
L1_SingleEG15er2p5,-1,998,1350,0,
L1_SingleEG26er2p5,-1,998,780,0,
L1_SingleEG28_FWD2p5,-1,998,45,0,
L1_SingleEG8er2p5,-1,998,44000,0,
L1_SingleJet120,-1,998,350,0,
L1_SingleJet120_FWD3p0,-1,998,40,0,
L1_SingleJet35,-1,998,64000,0,
L1_SingleJet35_FWD3p0,-1,998,103000,0,
L1_SingleJet60,-1,998,17000,0,
L1_SingleJet60_FWD3p0,-1,998,770,0,
L1_SingleJet90,-1,998,1500,0,
L1_SingleJet90_FWD3p0,-1,998,250,0,
L1_SingleMu15_DQ,-1,998,1300,0,
L1_SingleMu3,-1,998,22000,0,
L1_SingleMu5,-1,998,1700,0,
L1_SingleMu7,-1,998,200,0,
L1_SingleMuOpen,-1,998,63000,0,
L1_TripleMu_5SQ_3SQ_0OQ,-1,998,35,0,
L1_ZeroBias,-1,998,17881,0,
